symbol,date,pattern,signal_time,entry_time,entry,sl,tp,rr,exit_reason,pnl_r,exit_time
NAS100,2026-04-03,D_FIRST_PULLBACK,2026-04-03 11:15:00+00:00,2026-04-03 11:30:00+00:00,23966.13,23927.88,24042.63,2.0,TP_HIT,2.0,2026-04-03 12:30:00+00:00
NAS100,2026-04-06,B_FLAT_TOP,2026-04-06 02:00:00+00:00,2026-04-06 02:00:00+00:00,24084.09,24007.34,24237.59,2.0,SL_HIT,-1.0,2026-04-06 03:15:00+00:00
NAS100,2026-04-06,D_FIRST_PULLBACK,2026-04-06 06:00:00+00:00,2026-04-06 06:15:00+00:00,24097.14,24035.84,24219.74,2.0,SL_HIT,-1.0,2026-04-06 07:00:00+00:00
NAS100,2026-04-06,D_FIRST_PULLBACK,2026-04-06 12:30:00+00:00,2026-04-06 12:45:00+00:00,24139.39,24111.27,24195.63,2.0,SL_HIT,-1.0,2026-04-06 13:00:00+00:00
NAS100,2026-04-06,D_FIRST_PULLBACK,2026-04-06 13:30:00+00:00,2026-04-06 13:45:00+00:00,24151.52,24069.89,24314.78,2.0,SL_HIT,-1.0,2026-04-06 17:00:00+00:00
NAS100,2026-04-06,D_FIRST_PULLBACK,2026-04-06 17:15:00+00:00,2026-04-06 17:30:00+00:00,24129.02,24026.89,24333.28,2.0,EOD,0.0,2026-04-06 23:45:00+00:00
NAS100,2026-04-07,D_FIRST_PULLBACK,2026-04-07 02:15:00+00:00,2026-04-07 02:30:00+00:00,24019.27,23978.89,24100.03,2.0,TP_HIT,2.0,2026-04-07 08:00:00+00:00
NAS100,2026-04-07,D_FIRST_PULLBACK,2026-04-07 12:15:00+00:00,2026-04-07 12:30:00+00:00,24068.07,23959.82,24284.57,2.0,SL_HIT,-1.0,2026-04-07 13:45:00+00:00
NAS100,2026-04-07,D_FIRST_PULLBACK,2026-04-07 14:15:00+00:00,2026-04-07 14:30:00+00:00,23933.94,23820.69,24160.44,2.0,SL_HIT,-1.0,2026-04-07 15:00:00+00:00
NAS100,2026-04-07,D_FIRST_PULLBACK,2026-04-07 15:15:00+00:00,2026-04-07 15:30:00+00:00,23892.32,23767.57,24141.82,2.0,TP_HIT,2.0,2026-04-07 19:45:00+00:00
NAS100,2026-04-07,D_FIRST_PULLBACK,2026-04-07 22:45:00+00:00,2026-04-07 23:00:00+00:00,24742.8,24197.55,25833.3,2.0,EOD,0.0,2026-04-07 23:45:00+00:00
NAS100,2026-04-08,D_FIRST_PULLBACK,2026-04-08 00:45:00+00:00,2026-04-08 01:00:00+00:00,24909.55,24837.18,25054.29,2.0,TP_HIT,2.0,2026-04-08 09:00:00+00:00
NAS100,2026-04-08,D_FIRST_PULLBACK,2026-04-08 10:30:00+00:00,2026-04-08 10:45:00+00:00,25051.98,25014.48,25126.98,2.0,SL_HIT,-1.0,2026-04-08 11:00:00+00:00
NAS100,2026-04-08,D_FIRST_PULLBACK,2026-04-08 11:15:00+00:00,2026-04-08 11:30:00+00:00,25055.35,25009.48,25147.09,2.0,SL_HIT,-1.0,2026-04-08 12:15:00+00:00
NAS100,2026-04-08,D_FIRST_PULLBACK,2026-04-08 15:00:00+00:00,2026-04-08 15:15:00+00:00,24851.35,24759.98,25034.09,2.0,EOD,0.0,2026-04-08 23:45:00+00:00
NAS100,2026-04-09,D_FIRST_PULLBACK,2026-04-09 01:30:00+00:00,2026-04-09 01:45:00+00:00,24836.28,24812.28,24884.28,2.0,TP_HIT,2.0,2026-04-09 06:00:00+00:00
